Item Count,item name,Unit price $,Total Price*,Price with discounts*,Link,Running total $*,Running total with coupons*,part number,Notes
1,Blue LED,0.19,0.19,0.19,https://www.digikey.com/en/products/detail/american-bright-optoelectronics-corporation/BL-BBX1V4V-2-B02/22486905,0.2,0.2,1,
0,Red LED,0,0,0,https://www.lcsc.com/product-detail/C99771.html,0.2,0.2,2,have some left over from a past project
0,Green LED,0,0,0,https://www.jameco.com/z/MCDL-5013GD-MCD-Electronics-LED-Green-Diffused-5mm-T-1-3-4-565nm-12-5mcd-60VA_693901.html,0.2,0.2,3,have some left over from a past project
1,5.1Ω resistor,0.1,0.1,0.1,https://www.digikey.com/en/products/detail/yageo/CFR-25JB-52-5R1/2238,0.31,0.31,4,
1,56Ω resistor,0.1,0.1,0.1,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/LR1F56R/2381266,0.42,0.42,5,
1,120Ω resistor,0.1,0.1,0.1,https://www.digikey.com/en/products/detail/ohmite/OK1215E-R52/5972032,0.53,0.53,6,
1,100kΩ resistor,0.1,0.1,0.1,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/LR1F100K/2381157,0.64,0.64,7,
1,68kΩ resistor,0.1,0.1,0.1,https://www.digikey.com/en/products/detail/yageo/MFR50SFTE52-68K/9151668,0.75,0.75,8,
1,buzzer,0.76,0.76,0.76,https://www.digikey.com/en/products/detail/ole-wolff-electronics-inc/OWPB-1360P3-5-40-03/27621007,1.56,1.56,9,
3,buttons,0.13,0.39,0.39,https://www.digikey.com/en/products/detail/te-connectivity-alcoswitch-switches/1825910-6/1632536,1.97,1.97,10,have one left over from a past project
1,battery holder,2.29,2.29,2.29,https://www.digikey.com/en/products/detail/keystone-electronics/2479RB/2746483,4.4,4.4,11,
1,0.91” oled,5.02,5.02,5.02,https://www.lcsc.com/product-detail/C5248081.html,9.72,9.72,12,
1,PCB,5.3,5.3,5.3,https://jlcpcb.com,15.34,15.34,13,
1,JLCPCB shipping,3.3,3.3,3.3,,18.84,18.84,14,
1,digikeyshipping,8.49,8.49,8.49,,27.84,27.84,15,
,,,,,,,*Rounded to two decimal places,,
